Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Switzerland,CHE,9277551820,8912296199,9774985529,9230687861,10344088045,13037734712,13274704634,12722195113,14136393182,16163556375,15866413327,17147574973,19694009164,23085157546,26652824516,28272674039,31113885408,35285033968,42508223136,39308607780,42679710697,50124292139,50098542757,53294077946,55906710140,53257659389
Channel Islands,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,43686338,22770565,31055536,35694530,40044592,69932440,80429725,84401642,92360782,83718924,99129968,105903451,110617464,168562236,265703543,415258316,483239465,571705344,599123429,393889979,486839755,507252702,503029330,507843689,658843080,531985652
China,CHN,,,4303337959,5247285176,8258761488,13057348532,15821972754,20477372330,24639526471,29598065891,41735539452,49409510874,69226431383,108669366006,163006978639,215928412864,273131515794,302773296976,340117842217,309600892370,406089687684,457106558431,505645680350,560058333865,558605991980,
Cote d'Ivoire,CIV,,,,,,5527551,4016448,42136266,37373832,70221917,14925013,22898042,24513270,41554103,168098612,156212843,174798333,145012961,137671782,125503542,35470464,155140853,91583887,38666706,72379188,
Cameroon,CMR,5652459,,,,,3202883,2475320,1576955,,,825496,903332,1001075,3366269,1798651,1684940,2967180,11281067,9773801,7758715,14232013,26918157,14790526,,26702495,
"Congo, Rep.",COG,,,,1197841,3158121,3769879,,,,,,,,,,,,13531025,53924412,83028009,78784932,76127630,42207351,38020954,47798389,
Colombia,COL,,126543484,151278799,154926322,161681092,233001161,245419779,284163644,306083595,289147492,330564457,349136631,322444561,297321292,352837891,367212256,353802692,341931813,441258332,462355742,425239837,400794305,516973271,735600970,724222055,
Comoros,COM,,,,,,20015,1873,92808,15279,,3051,6228,3156,36783,182,361,2174,,22369,245482,11471,234350,6521,2591,,
Cabo Verde,CPV,,,,,,,,0,403305,578892,81378,86560,2969,,,297,0,0,,0,0,62511,0,,331,0
Costa Rica,CRI,,,,,33775275,41977804,29619791,220195579,1188819271,2706840214,1859069412,1071008138,1146424767,1700616695,1309056581,1776832950,2090631242,2530343873,2426063976,1791400685,2193335855,2511568834,2719083321,3065086038,,
Caribbean small states,CSS,,,,40800027,30906835,54699467,23155880,27127956,53601766,53465395,59294681,106638345,50711755,22396272,44949447,61667408,63406055,88216607,54044536,21423259,29395031,31220034,,,,
Cuba,CUB,,,,,,,,,,34725143,33713990,49650365,65999912,55309003,59379541,113378753,248049451,,,,,,,,,
Curacao,CUW,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,13945571,12327849,12360399,7568592,8555259,11302634,13359003,7089036,7364499,6497390,3381252,4124725,3723267,7969306,20597078,40480117,59868188,90755752,117524421,103906924,139021756,101643077,43507160,30802956,29195221,26759530
Czech Republic,CZE,,,,417095112,509605238,1066292711,1384392842,1564900478,2120501636,2056156946,2175395886,2999276914,5717358878,5927385965,7828890431,8933980026,12080532987,14439623904,17303573135,14251924959,17468785927,23365827816,22007809307,21044498621,23084215820,20074338041
Germany,DEU,42467566168,46424896208,48068793864,42605028136,49515002528,60581521064,60953018867,64074551162,71626993528,77188078910,85541568000,90556490000,93577559000,106203323000,135678154000,146388837000,163169386000,153418544000,159811532000,139960752000,158507039742,183371439118,187015792743,193799440986,199718151684,184283164631
Djibouti,DJI,,,,,,,,,,,,,,,,,,,,116611,,,,,,
Dominica,DMA,,,,271375,143869,348726,619511,1492000,,1209213,1873565,1510276,1606816,1634465,1752442,1673309,1815465,1196357,77477,0,2757,,1912206,,,
Denmark,DNK,3255151603,3191576923,3587812275,3255458748,4048539560,4663250471,4899835067,5678362296,5648612310,6487722405,6752348446,6904684053,8313257009,8648725467,9971737472,10163186455,10461505789,11177588910,11444550232,10414112654,8113595952,9318396364,8742028850,9255459519,9758841660,9318204877
Dominican Republic,DOM,,,,,,,826566,1245349,,,,3663000,174472787,169269218,195423789,416046400,289148358,561963491,171267326,79348496,75808632,90873749,124612748,166882779,193265639,
Algeria,DZA,,,4272717,5676489,1888488,1666312,2440222,4596669,2303648,15510125,21221581,3383607,6421476,11944911,6720100,9039068,10642822,6607471,8441609,4418241,5141641,2407114,2028775,3152281,3308543,
East Asia & Pacific (excluding high income),EAP,,,,,,,,,,,,,,,,,,,,,,,,,,
Early-demographic dividend,EAR,,,,,,,,,,,72802120828,65240266865,66727466701,67971225648,76681142658,79384710581,86291389112,83852654223,87341915997,82921577422,85285635367,94726231837,99588725931,,,
East Asia & Pacific,EAS,,,,,,,,,,,,,,,641078236830,,,,,,,,,,,
Europe & Central Asia (excluding high income),ECA,,,,,,,,,4011161303,4157215822,6436659284,5830845207,6916655095,8657403060,9470829672,7644487615,9408736237,11030732742,14720948645,13431907015,16499816011,18902987424,20384479633,21518517804,22926480478,
Europe & Central Asia,ECS,,,,,,,279729752321,306918455314,337036116498,373916085699,414847740987,410829606557,413986880020,454763017390,538262594155,586027098023,668400168608,603433216570,640839786858,556544126195,631941189053,718603156198,710480775295,748361016654,768897407341,
Ecuador,ECU,201282,659521,4102221,7628619,10485267,19948986,18314225,20300400,19706691,25025315,26765851,25378146,34604215,41110871,48764989,64252235,96213183,72954851,68174873,51244801,144508135,56609383,52230657,71780677,73045394,97006477
"Egypt, Arab Rep.",EGY,,,,,5575423,7444650,7202642,4320820,3125918,3458267,5590915,12214874,12779142,10008085,13508500,10122569,15833587,5729500,91898811,85283582,96228883,128064020,74587997,70412348,176345548,
Euro area,EMU,,,128595712597,122404057509,141370982120,179064842384,187377110786,204775947886,226693642423,258365019114,287809907916,286705617877,280147481554,318963336315,382698463558,412242348926,446563919936,429639147203,448626471717,391492098116,440151852148,495468659048,496333364545,525506619128,537410626367,404599533669
Eritrea,ERI,,,,,,,,,,,0,0,49,312443,,,,,,,,,,,,
Spain,ESP,2796858758,3512148204,3677184196,3867093705,4750261439,5085672723,5997252786,5649562940,5904284637,6863721807,7028652565,6995216586,7047219322,9032583222,10241789363,10718307882,10367021771,9814385692,10850665236,10156621554,11290317379,13369605149,13378214587,16346453615,15400981205,14240904065
Estonia,EST,,,,,,74313570,125367192,175625692,256959726,274954185,834648934,579557392,372999352,530618896,669725308,847002958,804864963,440670804,490024842,370107710,740821251,1539406627,1238690981,1307609261,1328131759,1040763519
Ethiopia,ETH,,,,,,149657,,179832,79636,56864,58734,71131,74419,124423,3397210,574738,219309,4313989,3583734,5400759,5685177,5201037,5791575,7986999,23602365,11843145
European Union,EUU,,,174070034486,167070853761,194847845955,247654955898,262637848847,290240794541,318171928404,353011769709,392754319879,387289528526,386283998840,422590958999,501704967206,549418607972,627452322048,555932836271,583538945186,504378261625,574988964765,652181256055,640474421765,673612414120,690089723451,548874905040
Fragile and conflict affected situations,FCS,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,FIN,1667633451,1365398697,1798297635,2159415757,3190700008,4949017845,5516915550,6561501942,8149599309,8481687778,10553011896,9217688264,9119367926,10482880246,10616147734,13752240645,13986615983,13025707405,13505538720,6746780663,5853434235,5357724865,4447572442,3724745015,3961279492,3632887080
Fiji,FJI,15236252,1007310,12211449,796662,1399589,,,,,,760291,4993452,2338640,2498841,2535348,4419091,2814603,6410354,4628058,4816492,4866445,4886573,2678222,2689877,3246115,
France,FRA,26913884798,30978781293,33338877725,30538363071,34221858989,43018895187,42649162377,48093514933,54664760152,55590460409,58765144272,55540008753,53277217636,57052862496,66065406510,70505675725,81537776323,78821539350,91980274248,82531138981,99735768592,105761429426,108585750298,113250612485,114697237252,132183573785
Faroe Islands,FRO,16409,22194,,102287,170223,,12623,89799,209177,81567,38295,70646,10941,53616,59464,56156,201446,135174,6422756,346410,,,,,,
"Micronesia, Fed. Sts.",FSM,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,GAB,,,,16453304,8861831,,16703990,18496664,41382820,44691661,3057052,2385789,4680208,3722310,26820928,20473823,71084576,45508801,42642923,6724020,,,,,,
United Kingdom,GBR,34632244776,34220217696,34872409643,34806807678,41371824547,51570249515,55500782013,61939455250,64898549541,66256158089,71717486091,71648946915,70421457958,63225293365,65966564145,82538262330,119362439325,61540453520,60467765449,47568044646,60172818879,69611885161,67786969582,69223896551,70652924421,69340644491
Georgia,GEO,,,,,,,1302747,2514746,3781742,22757647,11001340,39961736,46988142,31078742,89154260,75237675,65778042,41072248,20792486,14196325,10602755,10877912,18824453,20077888,25930512,34733393
Ghana,GHA,,,1203175,,,,826215,551888,890903,32355721,3002813,4703931,,7901997,552014,1405467,1378894,4637920,5912804,19208592,7732534,23116796,72508462,59681162,,
Gibraltar,GIB,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,,,,,,155815,85455,64983,71532,7991,122908,419478,958,,307553,182074,25653,246031,379343,,,,,862338,3445207,
"Gambia, The",GMB,,,,,,408414,104803,65725,204772,30381,5985,144688,4626,692,2036,263,766,10918,18510,0,2105,25179,12721,54418,0,
Guinea-Bissau,GNB,,,,,,,,,,,,,,,4296,,,,,,,,,,,
Equatorial Guinea,GNQ,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,GRC,103627118,123748650,113440189,162259700,169674275,318330617,347092436,336700010,499339108,574423462,743884634,549956560,686710971,991726383,1070613132,1032319861,1184998759,922549084,1339905494,1195427347,1137094899,1227145814,1026837242,855056995,1209944931,1137916585
Grenada,GRD,,,,154413,20398,17333,0,162774,5929720,2302,13716420,7828899,667824,45344,21857,4711,1178,7455735,1387798,,,,,,,
Greenland,GRL,626161,490765,603508,674906,413875,394843,1445277,4741182,396571,429482,1314442,461704,7286698,710941,329754,775427,1671548,1642148,465911,253759,12901070,1595781,3226962,897746,199043,
Guatemala,GTM,,,,25767627,34338000,51837521,57088171,64420678,60735811,71340784,68673381,70297474,53344371,79615238,89757562,103164427,38408706,122165458,152701972,142728242,205084955,176575043,192509821,197058734,211783122,229132333
Guam,GUM,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,GUY,,,,,,,,927000,907000,772233,1179149,1036758,5290491,614146,440074,150579,260532,318332,70726,16102,74105,109036,41488,119359,105393,
High income,HIC,,,,,,,665158539671,734370945676,757533212160,836912840323,969105497973,871727081798,862536933448,938531404779,1105531904240,1195710648698,1360571938926,1263292550214,1316749990673,1075711349674,1171537153578,1263004467247,1259059344208,1294134774866,1324993371551,
"Hong Kong SAR, China",HKG,,,4719403988,4603952492,4968767716,5762158099,4968315035,5377199226,4854315914,4398188601,5183241596,3716465005,2695530488,1850043538,2143638489,2512414893,1790700509,1411824772,1086000429,870281839,1105610241,805496960,841460390,599663754,467221867,425888102
Honduras,HND,,,,1233128,1718778,1665037,10136156,5054198,8453002,10665119,706711,462166,4262218,2420884,4090081,17333146,7026465,9764676,,15162483,19141806,11395287,34694652,,41817226,
Heavily indebted poor countries (HIPC),HPC,,,,,,,,115911027,,,210450990,97700601,96039901,119987610,263341667,307996246,393380030,312646193,326254447,450883465,265563892,909623826,758430936,,,
Croatia,HRV,,,171964501,136315995,164112942,208958409,249370403,287400195,272463933,267915577,279065040,350261678,431998720,542007161,756792464,682293611,670663198,692931234,821420863,679468866,732105959,672543092,761508481,808593307,731324425,760238175
Haiti,HTI,20159068,21926051,2016328,1529422,221436,344466,1904497,1804714,,,,,,,,,,,,,,,,,,
Hungary,HUN,,,279631000,318049000,348125000,590753000,515160000,2647945032,3872353064,4837902000,6429335000,6298108000,7400656000,9653507000,14225440000,13695032000,14995080000,18271149000,20254255000,16918932000,18815936000,20649002000,14878219000,14470677145,12889370773,11759507186
IBRD only,IBD,,,,,,,86880331267,105387364552,123310297907,150359617837,189012849924,180610963820,206724341056,254870573248,328106427672,392073276490,468901441340,506201438552,530065510405,494188245583,613239374889,676525913541,733181948880,797847054002,806527527105,
IDA & IBRD total,IBT,,,,,,,,,,,190177818724,181488396347,207480111529,255844556548,329315689822,393628746402,471201783124,509512219849,532671008782,497221933957,618079600597,687130024577,750737001892,826799874062,,
IDA total,IDA,,,,,,,,,,,,,755770473,,,,,,,,4840225708,,,,,
IDA blend,IDB,,,,,,,,94651752,,469695039,1036819807,773532428,622747698,830762941,920842941,1199159034,1923717814,2810832373,2214955212,2538962702,4558378207,9786404665,16875667808,,31508904857,
Indonesia,IDN,144306712,224574514,493821102,882872278,1375925745,1685982037,2291795910,2611199836,2256518817,2728364531,5774419213,4471258542,5158848176,4680910343,5902813446,6671058414,6034485448,5356419372,5762686044,6038545109,5742569481,5727738147,4962402547,4818332512,4980582046,
IDA only,IDX,,,,,,,,,,,,,,,,,,,,,281847501,,,,,
Isle of Man,IMN,,,,,,,,,,,,,,,,,,,,,,,,,,
India,IND,497829267,604228939,615240858,695836513,959201216,1351219574,1662488967,1685896198,1414828818,1679108273,2062488338,2286511142,2353666770,2710123490,3355934439,4139238100,4876300228,5997790337,7738414135,10728448006,10086626314,12870672544,12434267043,16693424357,17315676298,13750546786
Not classified,INX,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,6841293794,6560803447,7187967196,7894108650,9980720568,14398170640,17371426662,20117197732,23875081160,28523395273,31475030671,34661838788,31754508355,27741124356,30424804143,32873832109,31829122545,28168568620,27795411439,24286812034,21232045267,23751602369,22623281790,21914722722,21260562125,27633248893
"Iran, Islamic Rep.",IRN,,,,,,,,2467415,3428472,5825739,12263196,25906125,38053545,50470338,70762119,131544659,402642298,,,,584312861,652571090,,,,
Iraq,IRQ,,,,,,,,,,,,,,,,,,49871,,,,,,,,
Iceland,ISL,12716528,1846629,3512826,4568090,31697325,34498707,43444895,44803707,36248232,41796665,32424132,27063751,37346356,47248252,67883235,202601661,308466717,774358510,415726899,245695849,141380773,156242917,103588490,93401352,118378747,110268369
Israel,ISR,1111523814,1170931771,1366107121,1609097165,2008375805,2719331992,3184663984,3844892960,4259555016,4643183000,4978622000,4438381000,3762003000,4526716000,5440699000,4969659000,5594060000,3065415000,6273377000,7889756000,7978955000,8825592000,9212054000,9634614000,10241482000,
Italy,ITA,11561564013,12192579390,13395858260,12745021733,14116203351,16707949675,17713247341,16118597622,17499991470,17284841625,20110754174,20567853960,20512274447,20757319636,24517923411,25300973541,25884628534,26448137309,28813005956,25027190920,26419456970,31191607345,27525718963,29711962935,30744972831,26955337473
Jamaica,JAM,,864066,857795,511199,418125,336421,432535,508589,684967,332111,544351,253779,1015546,369660,1135623,878671,1294491,2469638,6256351,3027015,2860387,4075020,4584643,4346223,3341254,
Jordan,JOR,7451511,11292868,4914384,7944499,48155615,30195271,,31174411,15081773,48276727,53155024,88645744,49064136,28932292,42689482,34818525,35795070,38553549,42610370,50910351,122342466,115604075,102658495,77614246,80053130,
Japan,JPN,66664122330,73205571786,78431391048,85018158604,96491960318,111839773817,101830878105,104987776060,95491507998,104650392748,128902188246,99451268662,95885434943,107083423485,126245335279,125445486494,129241175242,117857774521,119914965648,95158639780,122102186970,126477503562,123411773351,105075614374,100954836424,91529336519
Kazakhstan,KAZ,,,,,,89132343,98792008,94832113,97182719,123105702,57336900,48924400,197432500,199962600,281063318,417238046,987630546,1463022217,2250589650,1800083703,2357068062,2587709497,3539236310,3069362578,3321231321,
Kenya,KEN,12035968,7062622,7575511,9043643,15855319,18038643,21184002,21893860,20322312,11968910,12612486,17342418,35385237,22053512,16681960,31568222,40458269,82661150,70820567,86215335,99904495,,,72063129,,
Kyrgyz Republic,KGZ,,,,,,13028680,30074264,,15065142,3180737,14103800,15983583,5670798,2462464,17222279,3268650,6517071,6908154,11198933,10795009,2360851,9066445,15625774,16771386,,
Cambodia,KHM,,,,,,,,,,,1095933,957962,3245461,7017878,4200420,3536852,981098,1480818,3200602,8462992,4699613,5139291,9984545,16145811,30874012,
Kiribati,KIR,,,,,,,,,,,,,,,,,,15388,137863,492613,458632,,238384,2648,,
St. Kitts and Nevis,KNA,,,,512321,378165,21507,39203,160867,,31602,135540,45472,16010,202018,19418,193968,107898,291175,172089,6599,301723,36481,,,,
"Korea, Rep.",KOR,10936004210,12868946426,14019224634,15453309549,20181271871,29786279100,27660192582,31502015863,30934317183,41376160119,54332601071,40358480791,46935938530,57458125461,76117485438,83907322830,93351820238,101031976659,100908572021,92855647821,121478141990,122021442532,121312606727,130460427536,133447400828,
Kosovo,KSV,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,KWT,14957490,5328120,15844751,10549690,130279777,8153236,6457672,6339210,6915819,33763167,1464897,1487446,1308546,1038364,1348493,,5982129,9639816,8128742,16285678,,,,84074873,5333902,
Latin America & Caribbean (excluding high income),LAC,,,,5648740836,7982446683,11066149899,13973173115,18504647064,23782575808,31052112850,39822845865,37600003985,36185780304,35835006155,40235338511,43661285551,47858104247,46481881554,47383056788,42008344979,49509604173,57892598612,56965375273,58539599788,59363626581,
Lao PDR,LAO,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,LBN,,,,,,,,14516140,13473824,11193218,11049679,14177653,15692174,16995379,26474000,34520000,35101735,37477392,55103881,86790410,278555999,49364422,39298966,41298274,38146559,
Liberia,LBR,,,,,,,,,,,,,,,,,,,,,,,,,,
Libya,LBY,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Lucia,LCA,,383656,1247120,1232431,1904960,1463146,1421425,588858,746375,494323,427949,434603,816168,840080,817725,837429,1845756,2379675,3965900,,,,,,1728467,
Latin America & Caribbean,LCN,,,,,,11495327556,14496640113,19093928193,,31805211823,40790947163,38620497242,36958201745,36751975349,41330218552,45002417036,49485570396,48314275476,50049728759,44043093672,51781009744,60534609662,59630704558,,,
Least developed countries: UN classification,LDC,,,,,,,,,,,,,,,,,,,,,,,,,,
Low income,LIC,,,,,,,,,,,33692818,,56310073,,,,,,,,,,,,,
Liechtenstein,LIE,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,LKA,6056445,8040201,18180762,22900854,27889491,,,,,109039078,122746599,76287148,19281819,24619542,61775100,99738087,71512094,108639372,102239678,45502785,56678418,70746485,57823960,69142802,67647675,59295119
Lower middle income,LMC,,,,,,,,,,,35531154897,29886008208,33567211215,34427289066,38959816122,40479861922,43130860106,47129864954,46263212837,44068614426,40144272114,45812972712,59866536455,,,
Low & middle income,LMY,,,,,,,,,,,188169916067,179281426411,205405422199,253119076641,325548349940,389092304180,465952816831,503629407669,523282261842,487893411241,606790763969,675224928593,737774645552,,,
Lesotho,LSO,,,,,,,,,,,901662,1195899,1935685,327275,428589,,,,394573,1640095,2229999,139462,18372,,,
Late-demographic dividend,LTE,,,,,,,76688967443,89015783712,102867147349,123698703545,154082021333,155287074008,175734947517,219505112198,287855267009,353042100829,423476237869,457968071913,480324316342,446813297631,563642337474,627585949709,686579544015,756865060051,763520610614,
Lithuania,LTU,,,4156835,,57751910,57214598,72340653,88376919,74958806,64690540,101977906,133254633,132688400,216177526,253219451,412262108,655735047,1190913025,1457224657,905311029,1190412076,1520145996,1612829473,1782051127,1900957548,1773594152
Luxembourg,LUX,,,,,,,,,,958730959,1076675387,1336048713,1097914462,1002393908,1063132018,1230769788,1328907021,1154345644,919140138,888274065,918468404,1106470978,895544462,714838455,642362379,673934496
Latvia,LVA,,,,,35661077,39208856,45718132,60943450,41831944,39634680,41474136,44883758,51825254,79724617,131307943,159476820,243118219,336672251,407955763,337996402,396246630,560578395,675108657,925175276,1119714939,961867110
"Macao SAR, China",MAC,25870991,28881419,32416451,29870448,23081404,36917750,36645302,38956538,15233058,15966447,18387133,17235972,12237377,10953032,9961645,12397535,12671644,16862697,22922705,13198070,0,0,0,,38253,
St. Martin (French part),MAF,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,MAR,,,,52975392,45753827,13355016,8584637,9509015,448261790,604369645,537369655,439527097,572743714,681200151,696365089,708334686,830646958,859085513,771383917,664566954,897323698,860938797,889025706,949971530,869791832,
Monaco,MCO,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,MDA,,,,,5000893,6405291,7136545,47926184,4186905,5192463,4683000,4779830,7690497,8315351,8785285,7801405,10460212,13904627,13236759,8118121,17430573,16874822,24709880,14300836,23886881,17928258
Madagascar,MDG,3407052,821551,409633,4392321,779152,612610,1006039,664396,15508010,3829843,2093220,3242745,1675168,1638402,2355958,2738562,4491601,7238885,6830768,9359649,4714064,52026514,1681188,1638370,3961124,
Maldives,MDV,,,,,,,,,,,,,,,0,0,,,,,,,,,,
Middle East & North Africa,MEA,,,,,,,,,,6726206662,7401328928,6334693084,5766805955,6981705341,8119000872,7571868753,9230728725,6303778706,9651999665,10368406399,12066278966,13089230523,13075701046,13419936708,14354020892,
Mexico,MEX,962212081,1189015497,3688313016,4487544984,6528622363,9352136000,11806799865,15592067852,19230095730,24059491957,31174465509,29734770059,28937633223,28725861281,31955962404,32400251888,35899472030,33482117138,33387187129,31183608848,37657285550,40795383584,44021894972,45418666690,49402709617,45780911356
Marshall Islands,MHL,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle income,MIC,,,,,,,,,,,188136223249,179253283020,205349112126,253079140862,325489166888,388987602441,465649870714,503484109143,523119930369,487720412738,606715172483,674873219837,737362162676,810383006926,,
"Macedonia, FYR",MKD,,,,,14039453,22603130,11640510,18115914,18349952,6962416,11410012,8847315,10828902,13164212,14995706,15849651,18539167,21225703,,40375847,77129177,123491689,112135680,117522964,122898232,110003537
Mali,MLI,,,,,,,172935,136329,369300,905489,1255457,3181124,3250493,1306391,2081143,2361153,2625440,3650261,1540876,,1703594,5021628,2187956,,,
